,position of first of a pair,position of second of a pair,score of first of a pair,token before the pair,score of the token before the pair,position of max score in saliency map,max score in saliency map,max score token,sum of score between pair,which smile
22735,44,46,0.9082944393157959,C,0.015147272497415543,44,0.9082944393157959,(,0.07278773188591003,4900
22736,53,55,0.037174005061388016,C,9.084313319362991e-07,54,0.5761063694953918,C,0.5761063694953918,4900
22737,47,57,5.971015184513817e-07,),1.6333338237473072e-08,55,0.5468209385871887,),0.9998553991317749,4900
22738,23,26,2.767398506534069e-12,C,2.1099294254573082e-15,25,1.0,O,1.0,4901
22739,32,34,0.0,c,0.0,33,1.0,Cl,1.0,4901
22740,21,38,4.092458993909531e-08,N,1.4754379940029594e-08,33,0.997798502445221,Cl,0.9999998807907104,4901
22741,44,46,0.0,c,0.0,45,1.0,Cl,1.0,4901
22742,48,50,8.149660857270646e-08,c,1.1952514105957428e-14,49,0.9999998807907104,Cl,0.9999998807907104,4901
22743,16,53,2.3072557753245349e-10,N,8.379661547985862e-11,48,0.5504156351089478,(,1.0,4901
22744,3,6,1.2379707259313477e-09,C,6.431982632051567e-14,5,1.0,O,1.0,4902
22745,18,27,2.629193716074951e-07,c,1.632026978837242e-11,23,0.9984660148620605,[nH],0.9999998211860657,4902
22746,38,40,0.11909814178943634,C,0.000520887493621558,39,0.8716302514076233,C,0.8716302514076233,4902
22747,3,5,0.18591520190238953,N,0.34384769201278687,2,0.34384769201278687,N,0.22154000401496887,4903
22748,12,24,0.008611299097537994,c,0.001089598285034299,23,0.7695788741111755,2,0.983356237411499,4903
22749,20,23,2.4992063529793995e-08,C,9.511783582993871e-10,22,0.9999997615814209,O,0.9999999403953552,4904
22750,25,27,0.0629168152809143,N,0.8925672769546509,24,0.8925672769546509,N,0.04353754594922066,4904
22751,37,40,1.5573231593180026e-09,C,3.3096209800520526e-11,39,0.999998927116394,O,0.999998927116394,4904
22752,43,45,0.14223945140838623,C,5.7105218729702756e-05,41,0.7073403596878052,O,0.1502729058265686,4904
22753,46,48,0.4676753282546997,),6.180306081660092e-05,46,0.4676753282546997,(,0.3391554355621338,4904
22754,35,50,0.0012457927223294973,N,0.0016504244413226843,49,0.8633095622062683,C,0.9968946576118469,4904
22755,18,53,3.278666227402027e-08,c,3.124743841453892e-08,52,0.8734789490699768,4,0.9999805688858032,4904
22756,8,59,6.660591633789181e-09,c,5.910846923029567e-09,58,0.9426971077919006,2,1.0,4904
22757,15,18,5.6876004236983135e-05,C,2.1543035018112278e-06,17,0.9998762607574463,O,0.9999372959136963,4905
22758,8,20,0.0002265163348056376,C,2.507267282680914e-09,19,0.9997473359107971,O,0.999773383140564,4905
22759,22,25,2.8852248715183215e-11,C,2.6749943689935126e-16,24,1.0,O,1.0,4905
22760,4,14,0.002020440297201276,C,0.007096055429428816,13,0.5668767690658569,1,0.9788121581077576,4906
22761,16,19,1.4136872778180987e-05,C,7.606270280291483e-09,18,0.9999324083328247,O,0.9999336004257202,4906
22762,26,28,0.005574910435825586,c,2.8764702619810123e-06,27,0.9933217167854309,C,0.9933217167854309,4906
22763,30,32,4.883132787014688e-11,c,4.347290619266713e-19,31,1.0,Cl,1.0,4906
22764,3,5,0.18591520190238953,N,0.34384769201278687,2,0.34384769201278687,N,0.22154000401496887,4907
22765,10,12,0.018056537955999374,N,0.18173782527446747,11,0.5560206770896912,C,0.5560206770896912,4907
22766,21,24,2.4997404320104e-12,C,7.024152852246057e-14,23,1.0,O,1.0,4907
22767,33,35,0.0,c,0.0,34,1.0,Cl,1.0,4907
22768,18,48,1.0904548162216088e-06,c,6.512837558148021e-07,47,0.9975154399871826,3,0.9999902248382568,4907
22769,53,55,0.9999998807907104,N,1.6848975548100498e-09,53,0.9999998807907104,(,1.1751055950526279e-07,4907
22770,51,57,1.6260826019021124e-11,c,8.438997764481648e-12,56,1.0,C,1.0,4907
22771,61,63,7.663445103389677e-06,C,1.0112800374884046e-08,62,0.9999923706054688,F,0.9999923706054688,4907
22772,64,66,1.2686978578813068e-08,),1.0282930348830453e-16,65,1.0,F,1.0,4907
22773,3,5,0.18591520190238953,N,0.34384769201278687,2,0.34384769201278687,N,0.22154000401496887,4908
22774,7,10,9.413715247319487e-07,C,1.7684159258485321e-12,9,0.9999990463256836,O,0.9999990463256836,4908
22775,25,27,1.843822350847158e-27,c,3.166687447693589e-32,26,1.0,Cl,1.0,4908
22776,16,31,0.0016506460960954428,c,0.0006292162579484284,30,0.5246708393096924,2,0.9495254158973694,4908
22777,14,24,8.995587995741516e-05,c,3.300381763438054e-07,20,0.5362216830253601,n,0.9998546242713928,4909
22778,4,30,3.488981326071894e-10,C,7.761574022380202e-11,29,0.5455480217933655,1,0.9999998807907104,4909
22779,37,39,3.9100634176237984e-27,C,3.6041396502434295e-41,38,1.0,F,1.0,4909
22780,40,42,5.292563804749906e-13,),1.3830697242722425e-17,41,1.0,F,1.0,4909
22781,35,44,0.0,c,0.0,43,1.0,F,1.0,4909
22782,14,16,1.6355168554582633e-05,C,0.2359577715396881,15,0.7640148997306824,O,0.7640148997306824,4910
22783,20,22,0.0008438994991593063,C,0.0018796366639435291,15,0.9706275463104248,O,0.022327594459056854,4910
22784,28,30,8.489203407675991e-20,c,6.043291817651286e-25,29,1.0,F,1.0,4910
22785,11,34,2.7936994229094125e-05,c,1.1886307220265735e-05,33,0.8040351271629333,3,0.9998090267181396,4910
22786,39,41,0.9970597624778748,C,2.4675273380125873e-06,39,0.9970597624778748,(,0.0029315513093024492,4910
22787,37,44,1.5802159927802428e-11,c,1.271818154263693e-12,43,0.9999979734420776,O,1.0,4910
22788,14,16,1.5813263587460824e-07,c,1.6911428701860132e-07,6,0.9996179342269897,=,6.568883691215888e-05,4911
22789,28,30,0.003058619797229767,c,0.00905649084597826,22,0.8793042302131653,(,0.07779404520988464,4911
22790,22,34,0.9992167949676514,C,0.0004913113079965115,22,0.9992167949676514,(,6.69891742290929e-05,4911
22791,43,46,0.018327439203858376,C,4.668591373047093e-06,45,0.9783223271369934,O,0.9815586805343628,4911
22792,48,50,0.00023645318287890404,C,8.299368346342817e-05,49,0.8659485578536987,O,0.8659485578536987,4911
22793,52,54,0.0010295859538018703,C,4.3569245463004336e-05,53,0.9672642350196838,O,0.9672642350196838,4911
22794,37,58,0.0024010471533983946,2,0.0009049508953467011,57,0.40148666501045227,O,0.9827291369438171,4911
22795,4,6,0.016805406659841537,1,0.006268210243433714,5,0.9717597365379333,C,0.9717597365379333,4912
22796,13,15,1.035753257383476e-06,1,1.9148950514136232e-07,14,0.9999986886978149,C,0.9999986886978149,4912
22797,20,23,3.024841878709883e-12,C,1.09296938700606e-14,22,1.0,O,1.0,4912
22798,32,37,0.0017953442875295877,c,2.0072824479725558e-23,36,0.8888968825340271,O,0.9982046484947205,4912
22799,17,40,6.31060743216949e-07,C,6.741760927297946e-08,35,0.9749047756195068,=,0.9999958276748657,4912
22800,9,12,8.448145828732212e-12,C,9.288875685341605e-14,11,1.0,O,1.0,4913
22801,17,19,0.16870924830436707,C,4.338883809396066e-05,18,0.7617318034172058,O,0.7617318034172058,4913
22802,21,24,6.256408369154087e-07,C,5.442847995223987e-12,23,0.9999992847442627,O,0.9999994039535522,4913
22803,34,36,0.9502378702163696,C,0.004156086593866348,34,0.9502378702163696,(,0.04236984997987747,4913
22804,37,39,5.790606519440189e-05,),1.0974630981763767e-07,34,0.8447344303131104,(,0.15520745515823364,4913
22805,32,41,2.2633173113462135e-11,c,3.378254056704555e-12,40,0.9999998807907104,C,1.0,4913
22806,26,45,9.941265943780309e-07,N,3.799593883968555e-08,44,0.9998325109481812,3,0.9999985694885254,4913
22807,7,58,2.7307502925566496e-09,c,1.0171986586371418e-09,57,0.9832593202590942,C,1.0,4913
22808,65,67,0.0006483345059677958,C,6.679726283209675e-08,63,0.9943652153015137,O,0.0024941673036664724,4913
22809,9,12,1.457667986315414e-09,C,2.103564396375166e-15,11,1.0,O,1.0,4914
22810,18,20,0.07295522093772888,c,0.0018605415243655443,19,0.777006208896637,C,0.777006208896637,4914
22811,6,23,3.84167456418498e-14,C,9.068614254177133e-15,21,0.999901533126831,[nH],1.0,4914
22812,25,27,0.01782972924411297,C,3.3264426747336984e-05,21,0.8768558502197266,[nH],0.013257766142487526,4914
22813,38,40,3.1370223751991944e-08,c,4.3879158084791925e-09,39,1.0,O,1.0,4914
22814,42,54,1.160896232477171e-07,c,2.7045125250424462e-08,48,0.6785978674888611,4,0.9999997615814209,4914
22815,56,59,1.0750456080899085e-11,c,9.050956598782856e-13,58,1.0,O,1.0,4914
22816,29,66,1.5943384390482152e-09,C,2.4656895449004512e-12,65,0.9999793767929077,C,0.9999999403953552,4914
22817,70,72,1.2107395974680912e-08,1,6.132135695224861e-06,66,0.999669075012207,),4.923401320411358e-06,4914
22818,3,6,1.2379707259313477e-09,C,6.431982632051567e-14,5,1.0,O,1.0,4915
22819,13,17,8.117272045637947e-06,2,0.00012229656567797065,16,0.9998495578765869,1,0.9998635649681091,4915
22820,29,32,2.641282192961114e-10,C,5.165625260872275e-09,31,1.0,O,1.0,4915
22821,34,36,0.0051253121346235275,N,0.9680817127227783,33,0.9680817127227783,N,0.021934468299150467,4915
22822,27,38,1.0458517863298766e-05,C,9.164130574390583e-07,37,0.9612138271331787,C,0.9998327493667603,4915
22823,20,41,9.679587589361133e-15,C,2.7193818282812178e-14,23,0.9999845027923584,1,0.9999993443489075,4915
22824,48,50,1.0558455151854496e-12,c,1.2904459618934272e-11,49,1.0,Cl,1.0,4915
22825,24,27,0.0012428750051185489,C,7.162397196225356e-06,26,0.9986910223960876,O,0.9987398386001587,4916
22826,30,32,0.19050298631191254,C,0.024862995371222496,31,0.7060893177986145,C,0.7060893177986145,4916
22827,33,35,0.05241529271006584,),0.0010601446265354753,34,0.6491355895996094,C,0.6491355895996094,4916
22828,21,37,8.117988727462944e-06,c,6.893144018249586e-06,36,0.956905722618103,C,0.9997172951698303,4916
22829,7,45,1.8524947632551164e-18,c,4.088295458091473e-19,43,0.9977589845657349,s,1.0,4916
22830,4,7,1.0057101462734863e-05,C,8.016576430236455e-06,6,0.9998923540115356,O,0.9999222755432129,4917
22831,9,11,0.024026773869991302,C,0.003201698884367943,10,0.8384996652603149,C,0.8384996652603149,4917
22832,23,25,0.006470101419836283,c,0.002741808770224452,24,0.7974672913551331,C,0.7974672913551331,4917
22833,17,29,0.0023453200701624155,C,3.9774087781552225e-05,28,0.9965410828590393,2,0.9970229268074036,4917
22834,37,40,4.3965392348621777e-23,C,6.392835071857314e-21,39,0.9999982118606567,O,1.0,4917
22835,5,7,0.0010064375819638371,C,0.0003031057713087648,6,0.9806491136550903,O,0.9806491136550903,4918
22836,19,30,1.568333232171426e-07,C,3.10916692392027e-09,29,0.9871081709861755,4,0.9999998807907104,4918
22837,11,53,4.842054952506018e-30,C,1.32495657673838e-30,51,1.0,2,1.0,4918
22838,18,21,0.00016130864969454706,4,0.9905219078063965,17,0.9905219078063965,4,0.009235239587724209,4919
22839,26,38,0.005429655779153109,5,0.9525200724601746,25,0.9525200724601746,5,0.04086359962821007,4919
22840,40,43,3.460107109276578e-05,C,1.1121210289483097e-12,42,0.9999653100967407,2,0.9999653100967407,4919
22841,45,47,0.003219173289835453,N,2.274293251502968e-07,46,0.9947566986083984,C,0.9947566986083984,4919
22842,4,14,0.0002357167104491964,C,8.917098057281692e-06,13,0.418425977230072,1,0.999748945236206,4920
22843,29,31,0.0,c,0.0,30,1.0,Cl,1.0,4920
22844,23,38,0.0,c,0.0,37,1.0,Cl,1.0,4920
22845,10,13,1.3248969642720317e-21,C,2.795934561433478e-25,12,1.0,O,1.0,4921
22846,21,23,0.0013474903535097837,c,0.00011176388943567872,19,0.9154305458068848,[nH],0.07505974918603897,4921
22847,7,26,0.0,c,0.0,19,1.0,[nH],1.0,4921
22848,12,15,7.75703679067874e-09,C,1.1158435286873214e-13,14,1.0,O,1.0,4922
22849,23,26,2.261914126403415e-23,[N+],8.757250480329049e-11,25,1.0,O,1.0,4922
22850,21,28,0.0,c,0.0,27,1.0,[O-],1.0,4922
22851,9,33,1.9457029177150085e-41,c,2.5629748912500904e-42,32,1.0,Cl,1.0,4922
22852,3,5,0.13645480573177338,C,0.07266402989625931,4,0.6913765668869019,C,0.6913765668869019,4923
22853,7,9,2.2374015834492056e-11,C,6.138852013531926e-12,8,1.0,O,1.0,4923
22854,18,21,5.47117315363721e-06,S,1.1100684815801287e-09,20,0.9999912977218628,O,0.9999914765357971,4923
22855,22,25,3.017486095518128e-14,),3.25769663423541e-27,24,1.0,O,1.0,4923
22856,28,30,0.0002946321910712868,C,4.912257281830534e-06,29,0.9994878768920898,C,0.9994878768920898,4923
22857,33,36,2.896208343372564e-06,C,1.5651710380403417e-16,35,0.9999364614486694,O,0.9999971389770508,4923
22858,31,38,4.863318636694203e-08,),1.9487999452394433e-05,37,0.9990610480308533,O,0.9991074204444885,4923
22859,45,47,0.13190977275371552,C,2.7537882771510577e-18,46,0.8602614998817444,C,0.8602614998817444,4923
22860,7,10,5.043313577290909e-18,C,4.631963276113189e-17,9,1.0,O,1.0,4924
22861,12,14,0.16467346251010895,N,0.013511955738067627,5,0.21247917413711548,C,0.16802452504634857,4924
22862,11,14,2.6252693714923225e-05,C,4.992427420802414e-06,13,0.9999054670333862,O,0.9999595880508423,4925
22863,20,22,3.5271102736594943e-40,c,0.0,21,1.0,F,1.0,4925
22864,16,29,2.9425784725534143e-12,N,8.800508607444135e-13,28,1.0,F,1.0,4925
22865,31,34,5.41957160749007e-05,C,0.006208878010511398,27,0.7997609376907349,4,0.02679644152522087,4925
22866,41,43,0.9615505337715149,C,4.304445155867143e-06,41,0.9615505337715149,(,0.021527225151658058,4925
22867,37,46,1.7052481388751817e-12,2,9.761379801253439e-14,45,0.9999947547912598,O,0.9999999403953552,4925
22868,49,51,2.027823908790083e-09,C,5.27862371868526e-11,46,0.9999289512634277,),1.498547774758663e-08,4925
22869,52,54,0.7912015318870544,),1.3728826786518766e-07,52,0.7912015318870544,(,0.20652484893798828,4925
22870,58,60,1.0,C,2.0026320604450573e-29,58,1.0,(,3.1699725282357134e-26,4925
22871,56,62,1.9932460629951132e-14,C,2.1602265065630646e-17,61,1.0,C,1.0,4925
22872,3,6,1.2379707259313477e-09,C,6.431982632051567e-14,5,1.0,O,1.0,4926
22873,15,17,0.013292510993778706,C,0.01896612159907818,16,0.9328417181968689,C,0.9328417181968689,4926
22874,18,22,1.2889143274859667e-41,),5.74532370373175e-44,20,0.9998830556869507,#,0.9999999403953552,4926
22875,12,26,7.272192523444714e-40,c,3.2180398843680127e-40,25,1.0,N,1.0,4926
22876,4,7,0.11873123049736023,N,0.5531764030456543,3,0.5531764030456543,N,0.25495854020118713,4927
22877,30,33,1.4795849665460992e-06,C,8.261974471679423e-06,32,0.9999380111694336,O,0.9999381303787231,4927
22878,25,36,9.369386155810844e-09,c,6.343466196767622e-09,34,0.9857014417648315,N,1.0,4927
22879,16,43,3.1519882190411685e-13,c,7.170996647886545e-18,41,0.830608069896698,n,1.0,4927
22880,11,26,1.672132583507846e-07,c,3.6725502639001206e-08,25,0.9894044399261475,3,0.9999990463256836,4928
22881,11,14,2.7302638727633166e-07,C,5.222102572588483e-08,13,0.9999996423721313,O,0.9999997019767761,4929
22882,30,33,0.003693721257150173,C,0.000746516976505518,32,0.9795189499855042,O,0.9867216944694519,4929
22883,9,35,9.242350773597252e-10,c,3.615687749203289e-09,34,0.9999892711639404,O,1.0,4929
22884,6,8,0.009273206815123558,c,0.061555638909339905,3,0.4508466124534607,1,0.403717964887619,4930
22885,15,17,6.303581176325679e-05,c,0.00014860145165584981,16,0.7793867588043213,O,0.7793867588043213,4930
22886,10,31,8.566953028053825e-13,c,2.680790702272451e-13,30,0.9998074173927307,O,1.0000001192092896,4930
22887,36,39,2.9276499505389263e-15,C,4.7531702307423984e-07,38,0.9933013916015625,O,0.9999995231628418,4930
22888,52,54,0.0008059548563323915,N,3.3150497529277345e-06,53,0.9991905093193054,C,0.9991905093193054,4930
22889,47,56,2.2570054714066146e-09,c,2.809407151360688e-10,55,0.9993255138397217,C,0.9999999403953552,4930
22890,3,6,4.582232122629648e-06,C,4.767341632572197e-09,5,0.9999953508377075,O,0.9999953508377075,4931
22891,8,10,2.4714800019864924e-05,C,1.594268724147696e-05,9,0.9967982172966003,O,0.9967982172966003,4931
22892,24,26,1.401298464324817e-44,c,0.0,25,1.0,Cl,1.0,4931
22893,17,30,0.0005382871604524553,n,0.000353402690961957,29,0.7678178548812866,2,0.9964110255241394,4931
22894,36,53,4.499016714731852e-09,c,1.1551272438570237e-10,50,0.9761934280395508,4,1.0000001192092896,4931
